  4.290pH         23.3øC 27-12-2003 14:43:27
  4.364pH         26.0øC 27-12-2003 18:42:57
  4.364pH         26.0øC 27-12-2003 18:43:27
  4.364pH         26.0øC 27-12-2003 18:43:57
  4.364pH         26.0øC 27-12-2003 18:44:27
  4.364pH         26.0øC 27-12-2003 18:44:57
  4.364pH         26.0øC 27-12-2003 18:45:27
  4.364pH         26.0øC 27-12-2003 18:45:57
  4.364pH         26.0øC 27-12-2003 18:46:27
  4.364pH         25.9øC 27-12-2003 18:46:57
  4.363pH         25.9øC 27-12-2003 18:47:27
  4.363pH         25.9øC 27-12-2003 18:47:57
  4.363pH         25.9øC 27-12-2003 18:48:27
  4.363pH         25.9øC 27-12-2003 18:48:57
  4.362pH         25.9øC 27-12-2003 18:49:27
  4.362pH         25.9øC 27-12-2003 18:49:57
  4.362pH         25.9øC 27-12-2003 18:50:27
  4.362pH         25.9øC 27-12-2003 18:50:57
  4.362pH         25.9øC 27-12-2003 18:51:27
  4.362pH         25.9øC 27-12-2003 18:51:57
  4.362pH         25.9øC 27-12-2003 18:52:27
  4.363pH         25.9øC 27-12-2003 18:52:57
  4.363pH         25.9øC 27-12-2003 18:53:27
  4.363pH         25.9øC 27-12-2003 18:53:57
  4.363pH         25.9øC 27-12-2003 18:54:27
  4.363pH         25.9øC 27-12-2003 18:54:57
  4.363pH         25.9øC 27-12-2003 18:55:27
  4.362pH         25.8øC 27-12-2003 18:55:57
  4.363pH         25.8øC 27-12-2003 18:56:27
  4.362pH         25.8øC 27-12-2003 18:56:57
  4.363pH         25.8øC 27-12-2003 18:57:27
  4.363pH         25.8øC 27-12-2003 18:57:57
  4.362pH         25.8øC 27-12-2003 18:58:27
  4.363pH         25.8øC 27-12-2003 18:58:57
  4.363pH         25.8øC 27-12-2003 18:59:27
  4.363pH         25.8øC 27-12-2003 18:59:57
  4.363pH         25.8øC 27-12-2003 19:00:27
  4.363pH         25.8øC 27-12-2003 19:00:57
  4.363pH         25.8øC 27-12-2003 19:01:27
  4.363pH         25.8øC 27-12-2003 19:01:57
  4.363pH         25.7øC 27-12-2003 19:02:27
  4.363pH         25.7øC 27-12-2003 19:02:57
  4.363pH         25.7øC 27-12-2003 19:03:27
  4.362pH         25.7øC 27-12-2003 19:03:57
  4.362pH         25.7øC 27-12-2003 19:04:27
  4.363pH         25.7øC 27-12-2003 19:04:57
  4.362pH         25.7øC 27-12-2003 19:05:27
  4.363pH         25.7øC 27-12-2003 19:05:57
  4.362pH         25.7øC 27-12-2003 19:06:27
  4.363pH         25.7øC 27-12-2003 19:06:57
  4.363pH         25.7øC 27-12-2003 19:07:27
  4.363pH         25.7øC 27-12-2003 19:07:57
  4.363pH         25.7øC 27-12-2003 19:08:27
  4.363pH         25.7øC 27-12-2003 19:08:57
  4.363pH         25.7øC 27-12-2003 19:09:27
  4.363pH         25.7øC 27-12-2003 19:09:57
  4.364pH         25.6øC 27-12-2003 19:10:27
  4.363pH         25.6øC 27-12-2003 19:10:57
  4.363pH         25.6øC 27-12-2003 19:11:27
  4.363pH         25.6øC 27-12-2003 19:11:57
  4.363pH         25.6øC 27-12-2003 19:12:27
  4.363pH         25.6øC 27-12-2003 19:12:57
  4.364pH         25.6øC 27-12-2003 19:13:27
  4.363pH         25.6øC 27-12-2003 19:13:57
  4.364pH         25.6øC 27-12-2003 19:14:27
  4.363pH         25.6øC 27-12-2003 19:14:57
  4.364pH         25.5øC 27-12-2003 19:15:27
  4.364pH         25.5øC 27-12-2003 19:15:57
  4.364pH         25.5øC 27-12-2003 19:16:27
  4.363pH         25.5øC 27-12-2003 19:16:57
  4.364pH         25.5øC 27-12-2003 19:17:27
  4.363pH         25.5øC 27-12-2003 19:17:57
  4.364pH         25.5øC 27-12-2003 19:18:27
  4.363pH         25.5øC 27-12-2003 19:18:57
  4.363pH         25.5øC 27-12-2003 19:19:27
  4.363pH         25.5øC 27-12-2003 19:19:57
  4.364pH         25.5øC 27-12-2003 19:20:27
  4.364pH         25.5øC 27-12-2003 19:20:57
  4.364pH         25.4øC 27-12-2003 19:21:27
  4.365pH         25.4øC 27-12-2003 19:21:57
  4.364pH         25.4øC 27-12-2003 19:22:27
  4.364pH         25.4øC 27-12-2003 19:22:57
  4.364pH         25.4øC 27-12-2003 19:23:27
  4.364pH         25.4øC 27-12-2003 19:23:57
  4.364pH         25.4øC 27-12-2003 19:24:27
  4.364pH         25.4øC 27-12-2003 19:24:57
  4.364pH         25.4øC 27-12-2003 19:25:27
  4.364pH         25.4øC 27-12-2003 19:25:57
  4.364pH         25.4øC 27-12-2003 19:26:27
  4.364pH         25.4øC 27-12-2003 19:26:57
  4.364pH         25.4øC 27-12-2003 19:27:27
  4.364pH         25.4øC 27-12-2003 19:27:57
  4.365pH         25.4øC 27-12-2003 19:28:27
  4.364pH         25.4øC 27-12-2003 19:28:57
  4.365pH         25.4øC 27-12-2003 19:29:27
  4.365pH         25.4øC 27-12-2003 19:29:57
  4.364pH         25.4øC 27-12-2003 19:30:27
  4.365pH         25.4øC 27-12-2003 19:30:57
  4.365pH         25.4øC 27-12-2003 19:31:27
  4.365pH         25.4øC 27-12-2003 19:31:57
  4.365pH         25.4øC 27-12-2003 19:32:27
  4.365pH         25.3øC 27-12-2003 19:32:57
  4.365pH         25.3øC 27-12-2003 19:33:27
  4.365pH         25.3øC 27-12-2003 19:33:57
  4.365pH         25.3øC 27-12-2003 19:34:27
  4.364pH         25.3øC 27-12-2003 19:34:57
  4.365pH         25.3øC 27-12-2003 19:35:27
  4.365pH         25.3øC 27-12-2003 19:35:57
  4.366pH         25.3øC 27-12-2003 19:36:27
  4.366pH         25.3øC 27-12-2003 19:36:57
  4.366pH         25.3øC 27-12-2003 19:37:27
  4.366pH         25.3øC 27-12-2003 19:37:57
  4.366pH         25.3øC 27-12-2003 19:38:27
  4.366pH         25.3øC 27-12-2003 19:38:57
  4.366pH         25.3øC 27-12-2003 19:39:27
  4.366pH         25.3øC 27-12-2003 19:39:57
  4.365pH         25.3øC 27-12-2003 19:40:27
  4.366pH         25.3øC 27-12-2003 19:40:57
  4.366pH         25.3øC 27-12-2003 19:41:27
  4.366pH         25.3øC 27-12-2003 19:41:57
  4.366pH         25.3øC 27-12-2003 19:42:27
  4.367pH         25.3øC 27-12-2003 19:42:57
  4.366pH         25.3øC 27-12-2003 19:43:27
  4.366pH         25.2øC 27-12-2003 19:43:57
  4.366pH         25.2øC 27-12-2003 19:44:27
  4.366pH         25.2øC 27-12-2003 19:44:57
  4.366pH         25.2øC 27-12-2003 19:45:27
  4.366pH         25.2øC 27-12-2003 19:45:57
  4.367pH         25.2øC 27-12-2003 19:46:27
  4.366pH         25.2øC 27-12-2003 19:46:57
  4.367pH         25.2øC 27-12-2003 19:47:27
  4.366pH         25.2øC 27-12-2003 19:47:57
  4.366pH         25.2øC 27-12-2003 19:48:27
  4.367pH         25.2øC 27-12-2003 19:48:57
  4.367pH         25.2øC 27-12-2003 19:49:27
  4.367pH         25.2øC 27-12-2003 19:49:57
  4.367pH         25.2øC 27-12-2003 19:50:27
  4.367pH         25.2øC 27-12-2003 19:50:57
  4.367pH         25.2øC 27-12-2003 19:51:27
  4.366pH         25.2øC 27-12-2003 19:51:57
  4.367pH         25.2øC 27-12-2003 19:52:27
  4.366pH         25.2øC 27-12-2003 19:52:57
  4.367pH         25.2øC 27-12-2003 19:53:27
  4.366pH         25.2øC 27-12-2003 19:53:57
  4.368pH         25.2øC 27-12-2003 19:54:27
  4.367pH         25.2øC 27-12-2003 19:54:57
  4.368pH         25.2øC 27-12-2003 19:55:27
  4.367pH         25.2øC 27-12-2003 19:55:57
  4.367pH         25.2øC 27-12-2003 19:56:27
  4.367pH         25.2øC 27-12-2003 19:56:57
  4.367pH         25.2øC 27-12-2003 19:57:27
  4.367pH         25.2øC 27-12-2003 19:57:57
  4.367pH         25.2øC 27-12-2003 19:58:27
  4.367pH         25.2øC 27-12-2003 19:58:57
  4.368pH         25.2øC 27-12-2003 19:59:27
  4.367pH         25.2øC 27-12-2003 19:59:57
  4.368pH         25.2øC 27-12-2003 20:00:27
  4.367pH         25.2øC 27-12-2003 20:00:57
  4.367pH         25.2øC 27-12-2003 20:01:27
  4.368pH         25.1øC 27-12-2003 20:01:57
  4.368pH         25.1øC 27-12-2003 20:02:27
  4.367pH         25.1øC 27-12-2003 20:02:57
  4.368pH         25.1øC 27-12-2003 20:03:27
  4.368pH         25.1øC 27-12-2003 20:03:57
  4.368pH         25.1øC 27-12-2003 20:04:27
  4.368pH         25.1øC 27-12-2003 20:04:57
  4.368pH         25.1øC 27-12-2003 20:05:27
  4.368pH         25.1øC 27-12-2003 20:05:57
  4.368pH         25.1øC 27-12-2003 20:06:27
  4.368pH         25.1øC 27-12-2003 20:06:57
  4.368pH         25.1øC 27-12-2003 20:07:27
  4.368pH         25.1øC 27-12-2003 20:07:57
  4.368pH         25.1øC 27-12-2003 20:08:27
  4.368pH         25.1øC 27-12-2003 20:08:57
  4.368pH         25.1øC 27-12-2003 20:09:27
  4.368pH         25.1øC 27-12-2003 20:09:57
  4.368pH         25.1øC 27-12-2003 20:10:27
  4.368pH         25.1øC 27-12-2003 20:10:57
  4.368pH         25.1øC 27-12-2003 20:11:27
  4.368pH         25.1øC 27-12-2003 20:11:57
  4.368pH         25.1øC 27-12-2003 20:12:27
  4.368pH         25.1øC 27-12-2003 20:12:57
  4.368pH         25.1øC 27-12-2003 20:13:27
  4.368pH         25.1øC 27-12-2003 20:13:57
  4.369pH         25.1øC 27-12-2003 20:14:27
  4.368pH         25.1øC 27-12-2003 20:14:57
  4.368pH         25.1øC 27-12-2003 20:15:27
  4.368pH         25.1øC 27-12-2003 20:15:57
  4.369pH         25.1øC 27-12-2003 20:16:27
  4.369pH         25.1øC 27-12-2003 20:16:57
  4.369pH         25.1øC 27-12-2003 20:17:27
  4.369pH         25.1øC 27-12-2003 20:17:57
  4.369pH         25.1øC 27-12-2003 20:18:27
  4.369pH         25.1øC 27-12-2003 20:18:57
  4.369pH         25.0øC 27-12-2003 20:19:27
  4.368pH         25.0øC 27-12-2003 20:19:57
  4.368pH         25.0øC 27-12-2003 20:20:27
  4.369pH         25.0øC 27-12-2003 20:20:57
  4.369pH         25.0øC 27-12-2003 20:21:27
  4.369pH         25.0øC 27-12-2003 20:21:57
  4.368pH         25.0øC 27-12-2003 20:22:27
  4.368pH         25.0øC 27-12-2003 20:22:57
  4.369pH         25.0øC 27-12-2003 20:23:27
  4.370pH         25.0øC 27-12-2003 20:23:57
  4.369pH         25.0øC 27-12-2003 20:24:27
  4.370pH         25.0øC 27-12-2003 20:24:57
  4.370pH         25.0øC 27-12-2003 20:25:27
  4.370pH         25.0øC 27-12-2003 20:25:57
  4.369pH         25.0øC 27-12-2003 20:26:27
  4.369pH         25.0øC 27-12-2003 20:26:57
  4.369pH         25.0øC 27-12-2003 20:27:27
  4.369pH         25.0øC 27-12-2003 20:27:57
  4.369pH         25.0øC 27-12-2003 20:28:27
  4.369pH         25.0øC 27-12-2003 20:28:57
  4.370pH         25.0øC 27-12-2003 20:29:27
  4.370pH         25.0øC 27-12-2003 20:29:57
  4.370pH         25.0øC 27-12-2003 20:30:27
  4.370pH         25.0øC 27-12-2003 20:30:57
  4.369pH         24.9øC 27-12-2003 20:31:27
  4.369pH         24.9øC 27-12-2003 20:31:57
  4.370pH         24.9øC 27-12-2003 20:32:27
  4.370pH         24.9øC 27-12-2003 20:32:57
  4.369pH         24.9øC 27-12-2003 20:33:27
  4.370pH         24.9øC 27-12-2003 20:33:57
  4.370pH         24.9øC 27-12-2003 20:34:27
  4.370pH         24.9øC 27-12-2003 20:34:57
  4.370pH         24.9øC 27-12-2003 20:35:27
  4.370pH         24.9øC 27-12-2003 20:35:57
  4.370pH         24.9øC 27-12-2003 20:36:27
  4.370pH         24.9øC 27-12-2003 20:36:57
  4.370pH         24.9øC 27-12-2003 20:37:27
  4.370pH         24.9øC 27-12-2003 20:37:57
  4.370pH         24.9øC 27-12-2003 20:38:27
  4.370pH         24.9øC 27-12-2003 20:38:57
  4.371pH         24.9øC 27-12-2003 20:39:27
  4.370pH         24.9øC 27-12-2003 20:39:57
  4.370pH         24.9øC 27-12-2003 20:40:27
  4.370pH         24.9øC 27-12-2003 20:40:57
  4.370pH         24.9øC 27-12-2003 20:41:27
  4.371pH         24.9øC 27-12-2003 20:41:57
  4.371pH         24.9øC 27-12-2003 20:42:27
  4.371pH         24.9øC 27-12-2003 20:42:57
  4.371pH         24.9øC 27-12-2003 20:43:27
  4.371pH         24.9øC 27-12-2003 20:43:57
  4.370pH         24.9øC 27-12-2003 20:44:27
  4.370pH         24.9øC 27-12-2003 20:44:57
  4.370pH         24.9øC 27-12-2003 20:45:27
  4.370pH         24.9øC 27-12-2003 20:45:57
  4.370pH         24.9øC 27-12-2003 20:46:27
  4.371pH         24.9øC 27-12-2003 20:46:57
  4.371pH         24.9øC 27-12-2003 20:47:27
  4.371pH         24.9øC 27-12-2003 20:47:57
  4.370pH         24.9øC 27-12-2003 20:48:27
  4.371pH         24.9øC 27-12-2003 20:48:57
  4.371pH         24.9øC 27-12-2003 20:49:27
  4.371pH         24.9øC 27-12-2003 20:49:57
  4.371pH         24.9øC 27-12-2003 20:50:27
  4.372pH         24.9øC 27-12-2003 20:50:57
  4.371pH         24.9øC 27-12-2003 20:51:27
  4.372pH         24.9øC 27-12-2003 20:51:57
  4.371pH         24.9øC 27-12-2003 20:52:27
  4.371pH         24.9øC 27-12-2003 20:52:57
  4.371pH         24.9øC 27-12-2003 20:53:27
  4.371pH         24.9øC 27-12-2003 20:53:57
  4.371pH         24.9øC 27-12-2003 20:54:27
  4.371pH         24.9øC 27-12-2003 20:54:57
  4.371pH         24.9øC 27-12-2003 20:55:27
  4.371pH         24.9øC 27-12-2003 20:55:57
  4.371pH         24.9øC 27-12-2003 20:56:27
  4.371pH         24.9øC 27-12-2003 20:56:57
  4.371pH         24.9øC 27-12-2003 20:57:27
  4.371pH         24.9øC 27-12-2003 20:57:57
  4.371pH         24.9øC 27-12-2003 20:58:27
  4.371pH         24.9øC 27-12-2003 20:58:57
  4.371pH         24.8øC 27-12-2003 20:59:27
  4.371pH         24.9øC 27-12-2003 20:59:57
  4.372pH         24.8øC 27-12-2003 21:00:27
  4.371pH         24.8øC 27-12-2003 21:00:57
  4.371pH         24.8øC 27-12-2003 21:01:27
  4.371pH         24.8øC 27-12-2003 21:01:57
  4.371pH         24.8øC 27-12-2003 21:02:27
  4.371pH         24.8øC 27-12-2003 21:02:57
  4.372pH         24.8øC 27-12-2003 21:03:27
  4.372pH         24.8øC 27-12-2003 21:03:57
  4.371pH         24.8øC 27-12-2003 21:04:27
  4.372pH         24.8øC 27-12-2003 21:04:57
  4.371pH         24.8øC 27-12-2003 21:05:27
  4.371pH         24.8øC 27-12-2003 21:05:57
  4.371pH         24.8øC 27-12-2003 21:06:27
  4.371pH         24.8øC 27-12-2003 21:06:57
  4.371pH         24.8øC 27-12-2003 21:07:27
  4.372pH         24.8øC 27-12-2003 21:07:57
  4.372pH         24.8øC 27-12-2003 21:08:27
  4.371pH         24.8øC 27-12-2003 21:08:57
  4.372pH         24.8øC 27-12-2003 21:09:27
  4.372pH         24.8øC 27-12-2003 21:09:57
  4.372pH         24.8øC 27-12-2003 21:10:27
  4.372pH         24.8øC 27-12-2003 21:10:57
  4.372pH         24.8øC 27-12-2003 21:11:27
  4.372pH         24.8øC 27-12-2003 21:11:57
  4.372pH         24.8øC 27-12-2003 21:12:27
  4.372pH         24.8øC 27-12-2003 21:12:57
  4.372pH         24.8øC 27-12-2003 21:13:27
  4.372pH         24.8øC 27-12-2003 21:13:57
  4.372pH         24.8øC 27-12-2003 21:14:27
  4.372pH         24.8øC 27-12-2003 21:14:57
  4.372pH         24.8øC 27-12-2003 21:15:27
  4.372pH         24.8øC 27-12-2003 21:15:57
  4.372pH         24.8øC 27-12-2003 21:16:27
  4.372pH         24.8øC 27-12-2003 21:16:57
  4.372pH         24.8øC 27-12-2003 21:17:27
  4.372pH         24.8øC 27-12-2003 21:17:57
  4.372pH         24.8øC 27-12-2003 21:18:27
  4.372pH         24.8øC 27-12-2003 21:18:57
  4.372pH         24.8øC 27-12-2003 21:19:27
  4.372pH         24.8øC 27-12-2003 21:19:57
  4.372pH         24.8øC 27-12-2003 21:20:27
  4.372pH         24.8øC 27-12-2003 21:20:57
  4.372pH         24.8øC 27-12-2003 21:21:27
  4.372pH         24.8øC 27-12-2003 21:21:57
  4.372pH         24.8øC 27-12-2003 21:22:27
  4.371pH         24.8øC 27-12-2003 21:22:57
  4.372pH         24.8øC 27-12-2003 21:23:27
  4.372pH         24.8øC 27-12-2003 21:23:57
  4.372pH         24.8øC 27-12-2003 21:24:27
  4.372pH         24.8øC 27-12-2003 21:24:57
  4.372pH         24.8øC 27-12-2003 21:25:27
  4.373pH         24.8øC 27-12-2003 21:25:57
  4.373pH         24.8øC 27-12-2003 21:26:27
  4.372pH         24.8øC 27-12-2003 21:26:57
  4.372pH         24.7øC 27-12-2003 21:27:27
  4.372pH         24.7øC 27-12-2003 21:27:57
  4.372pH         24.7øC 27-12-2003 21:28:27
  4.372pH         24.7øC 27-12-2003 21:28:57
  4.372pH         24.7øC 27-12-2003 21:29:27
  4.372pH         24.7øC 27-12-2003 21:29:57
  4.372pH         24.7øC 27-12-2003 21:30:27
  4.372pH         24.7øC 27-12-2003 21:30:57
  4.372pH         24.7øC 27-12-2003 21:31:27
  4.373pH         24.7øC 27-12-2003 21:31:57
  4.372pH         24.7øC 27-12-2003 21:32:27
  4.372pH         24.7øC 27-12-2003 21:32:57
  4.372pH         24.7øC 27-12-2003 21:33:27
  4.372pH         24.7øC 27-12-2003 21:33:57
  4.373pH         24.7øC 27-12-2003 21:34:27
  4.373pH         24.7øC 27-12-2003 21:34:57
  4.373pH         24.7øC 27-12-2003 21:35:27
  4.373pH         24.7øC 27-12-2003 21:35:57
  4.373pH         24.7øC 27-12-2003 21:36:27
  4.372pH         24.7øC 27-12-2003 21:36:57
  4.372pH         24.7øC 27-12-2003 21:37:27
  4.374pH         24.7øC 27-12-2003 21:37:57
  4.374pH         24.7øC 27-12-2003 21:38:27
  4.374pH         24.7øC 27-12-2003 21:38:57
  4.374pH         24.7øC 27-12-2003 21:39:27
  4.374pH         24.7øC 27-12-2003 21:39:57
  4.374pH         24.7øC 27-12-2003 21:40:27
  4.373pH         24.7øC 27-12-2003 21:40:57
  4.373pH         24.7øC 27-12-2003 21:41:27
  4.374pH         24.7øC 27-12-2003 21:41:57
  4.373pH         24.7øC 27-12-2003 21:42:27
  4.373pH         24.7øC 27-12-2003 21:42:57
  4.374pH         24.7øC 27-12-2003 21:43:27
  4.374pH         24.7øC 27-12-2003 21:43:57
  4.374pH         24.7øC 27-12-2003 21:44:27
  4.374pH         24.7øC 27-12-2003 21:44:57
  4.374pH         24.7øC 27-12-2003 21:45:27
  4.374pH         24.7øC 27-12-2003 21:45:57
  4.374pH         24.7øC 27-12-2003 21:46:27
  4.374pH         24.7øC 27-12-2003 21:46:57
  4.374pH         24.7øC 27-12-2003 21:47:27
  4.374pH         24.7øC 27-12-2003 21:47:57
  4.374pH         24.7øC 27-12-2003 21:48:27
  4.374pH         24.7øC 27-12-2003 21:48:57
  4.374pH         24.7øC 27-12-2003 21:49:27
  4.374pH         24.7øC 27-12-2003 21:49:57
  4.374pH         24.7øC 27-12-2003 21:50:27
  4.374pH         24.7øC 27-12-2003 21:50:57
  4.374pH         24.7øC 27-12-2003 21:51:27
  4.374pH         24.7øC 27-12-2003 21:51:57
  4.374pH         24.7øC 27-12-2003 21:52:27
  4.375pH         24.7øC 27-12-2003 21:52:57
  4.374pH         24.7øC 27-12-2003 21:53:27
  4.374pH         24.7øC 27-12-2003 21:53:57
  4.374pH         24.7øC 27-12-2003 21:54:27
  4.374pH         24.7øC 27-12-2003 21:54:57
  4.375pH         24.7øC 27-12-2003 21:55:27
  4.374pH         24.7øC 27-12-2003 21:55:57
  4.374pH         24.7øC 27-12-2003 21:56:27
  4.375pH         24.7øC 27-12-2003 21:56:57
  4.374pH         24.7øC 27-12-2003 21:57:27
  4.374pH         24.7øC 27-12-2003 21:57:57
  4.374pH         24.7øC 27-12-2003 21:58:27
  4.374pH         24.7øC 27-12-2003 21:58:57
  4.375pH         24.7øC 27-12-2003 21:59:27
  4.375pH         24.7øC 27-12-2003 21:59:57
  4.374pH         24.7øC 27-12-2003 22:00:27
  4.374pH         24.7øC 27-12-2003 22:00:57
  4.374pH         24.7øC 27-12-2003 22:01:27
  4.375pH         24.7øC 27-12-2003 22:01:57
  4.375pH         24.7øC 27-12-2003 22:02:27
  4.375pH         24.7øC 27-12-2003 22:02:57
  4.374pH         24.7øC 27-12-2003 22:03:27
  4.375pH         24.7øC 27-12-2003 22:03:57
